2019-04-15 22:09:20,"And us out here in the US, not billionaires, or millionaires just workers get to pay 2400 dollars this year, up fro… https://t.co/gr7W49t4Mv",PacNW,
2019-04-15 22:08:38,"#Election2020: Former #MA Gov Bill Weld says he's officially running for president, becoming first Republican chall… https://t.co/wMbhegK1yC","Washington, D.C.",
2019-04-15 22:08:14,"@MichelleHill387 @CNN @marwilliamson @HillaryClinton Black Americans build America, Our ancestors were and we are t… https://t.co/9snthsDYEI",ﾚ◊ㄅ ∆иб∑ﾚ∑ㄅ ς∆,
2019-04-15 22:07:05,"@realDonaldTrump You kept your promises you made, the biased bullsh** media won't acknowledge and just brainwash th… https://t.co/BHCrdCqvLH","Kailua-Kona, HI",
2019-04-15 22:03:24,"Former Massachusetts Governor, and 2016 @GovGaryJohnson running mate, @GovBillWeld is officially challenging… https://t.co/oZuEBZzScx",,
2019-04-15 22:03:11,"@Highwired @PuestoLoco @Timster1984 @KamalaHarris @IlhanMN @SpeakerPelosi Dude,
When Congress changes our nation's… https://t.co/C2Z5tITeSX","Blue Florida, USA",
2019-04-15 22:00:21,"Sen. #KirstenGillibrand has $10.2M in cash for White House bid, campaign says https://t.co/0cjau9neAw #Election2020 #Gillibrand",,
2019-04-15 21:57:53,@CNN @marwilliamson Reparations are due to Descendants of AMERICAN Chattel Slavery...not Africans or any other Blac… https://t.co/9Kk6M2sYR2,ﾚ◊ㄅ ∆иб∑ﾚ∑ㄅ ς∆,
2019-04-15 21:54:38,"And so it begins...

""Christian"" University President Falsely Attacks @PeteButtigieg: 'Please Stop Telling Us What… https://t.co/N13MsfPSyE",NORTHEAST US LIBERAL BASTARD,
2019-04-15 21:52:39,@ericswalwell will never be the President of the United States... Just Saying.. No one with this little understandi… https://t.co/vjwvj3E4Gq,America,
2019-04-15 21:50:02,"Midwestern #MayorPete Buttigieg of South Bend, Indiana, announced his official candidacy for President from his cit… https://t.co/M2aWRB7dy8","San Francisco, CA",
2019-04-15 21:47:07,"Let's get the facts straight about something! Was Obama, Bush / Ckinton challenge as #incumbent. Then that makes… https://t.co/l4X8xCD0q1","bronx, ny",
2019-04-15 21:44:50,"#Connecticut #Hartford #Election2020 ""And like his campaign four years ago, the vast majority of Bronin’s money is… https://t.co/mXyBGBssRJ","Connecticut, USA",
2019-04-15 21:43:24,Some data-driven recent historical context for the entry of @GovBillWeld into the @GOP primary to challenge the inc… https://t.co/6G9AFpvCxA,"Washington, DC",
2019-04-15 21:39:39,JUST IN: Former Mass. Gov. Bill Weld officially announces he is challenging @realDonaldTrump for #GOP nomination in… https://t.co/MswH4GuQfi,Las Vegas,
2019-04-15 21:39:23,"Bernie Sander's supporter and organizer, Mark Craig: ""F--k Hillary! F--k Hillary!""

How Trumpian.

#Election2020… https://t.co/BzTyy1IeL8",Land of Immigrants,
2019-04-15 21:37:19,#Minnesota is a prime candidate to flip from blue to red in 2020! @realDonaldTrump is visiting on #TaxDay to remind… https://t.co/XfnK2ZIv7b,,
2019-04-15 21:34:51,"@thehill “JUST IN: Bill Weld announces 2020 run, becoming Trump's first GOP challenger”

Hey @JeffFlake @MittRomney… https://t.co/wZ9uGjzPud",,
2019-04-15 21:34:41,@PPact Nice way to make friends .... considering the slaughter at the polls Democrats will endure in #Election2020,"Kailua-Kona, HI",
2019-04-15 21:33:38,"If @realDonaldTrump wants to win 2020 by a landslide, he should promise reparations for slavery #Election2020",,
2019-04-15 21:31:17,"😨 God help us.

Most under $200, eh?  Did each bot send $100?  Somebody better follow THAT money.
#election2020 https://t.co/J4kXzzh1tA",Earth,
2019-04-15 21:30:16,#KamalaHarris announces 2 SC college town halls https://t.co/qqykondAv9 #Election2020 #Kamala2020,,
2019-04-15 21:30:15,"Trump will officially face a #Trot in 2020. 
#Election2020 https://t.co/jD90jCooM1","Clarksdale, MS",
2019-04-15 21:28:11,"Kamala Harris for the People Events · MobilizeAmerica

#ElectWomen #Kamala2020 #Election2020 #KDH https://t.co/6ZOWRmbVO1",Norman Oklahoma ,
2019-04-15 21:27:55,They know they're not. @ewarren knows that 50 a lot of the procedural stuff she talks about depends on Congress too… https://t.co/oB3fVqexPj,,
2019-04-15 21:26:04,"Current #Election2020 pick...

@SenKamalaHarris or @SenWarren for #POTUS and

@PeteButtigieg for #VP

I… https://t.co/lpqurt1dGH",United States,
2019-04-15 21:21:25,#Politics #Government #Election2020 #Campaigns @GovBillWeld ... GOOD ---&gt; Republican William Weld launches primary… https://t.co/S7JyRFRk61,"Malibu, CA",
2019-04-15 21:20:30,Lets get @MikeGravel to the Debate stage!! #Election2020,"Brooklyn,NY",
2019-04-15 21:20:14,Off to @brooklynbowl to see @PeteButtigieg speak! #mayorpete #presidentpete #Election2020,"Brooklyn, NY",
2019-04-15 21:14:23,@smdftbh @marwilliamson knows whats up! She has been very clear in past interviews that she knows reparations in Am… https://t.co/qkLVC3NZF4,ﾚ◊ㄅ ∆иб∑ﾚ∑ㄅ ς∆,
2019-04-15 21:12:34,Former Massachusetts Governor Bill Weld officially announces he is challenging President Trump for the GOP nominati… https://t.co/IhQ0XSfb2s,"Fort Myers, FL",
2019-04-15 21:12:27,"&amp; so we have it, the #Republicans are officially  having a primary as well. #election2020 https://t.co/TYzN4VbzDc","bronx, ny",
2019-04-15 21:11:31,"@antihero_kate 2019 Everybody!

Buckle up, we have a long road to get thru #Election2020 when the Groundhog will co… https://t.co/3nAbIduC6B","Florida, USA",
2019-04-15 21:10:01,More Republicans need to challenge the faux Republican currently residing in the White House. #election2020 https://t.co/VgTbGBJfxx,"Boston, MA",
2019-04-15 21:08:25,Who wins when the left is divided? Who benefits? Let us stop and take a look. Difference is not division.… https://t.co/yfFQ2uX5CM,States of America,
2019-04-15 21:07:51,A former #Massachusetts governor is the latest to declare for #Election2020 -- and the first from the @GOP to chall… https://t.co/QQDC0QJAKn,"Washington, DC",
2019-04-15 21:06:48,"Is there a Republican Woman brave enough to challenge Trump in 2020? Step up, Ladies! 💃🏻 #2020Election #challlenge… https://t.co/gEVhb3hsiK","Atlanta, GA",
2019-04-15 21:05:31,"@kenvogel @TomSteyer If Bernie Sanders doesn't call out Tom Steyer, then 'big money' in politics is both subjective… https://t.co/Y1BAHHU89M",Land of Immigrants,
2019-04-15 21:04:49,"Who wins if #Democrats fight each other, if Democrats are divided?

Who is trying to divide Democrats?
See them, kn… https://t.co/zs44CQBbMP",States of America,
2019-04-15 21:02:12,🇺🇸I am thrilled to announce the candidacy of my friend Judge Ann Celine Walsh for 18th Judicial Circuit Court Judge… https://t.co/gixpUjiF0G,"Downers Grove, IL",
2019-04-15 21:01:52,#Republican Bill Weld (former Masschusetts Governor) has declared his candidacy for the GOP Presidential nomination… https://t.co/RZ1uPFzN4z,"Taylorsville, UT",
2019-04-15 21:01:38,"#Election2020:
Former Massachusetts Governor #BillWeld will challenge President #Trump for the 2020 GOP presidential nomination  - CNN","Long Beach, CA",
2019-04-15 21:01:10,"Seeing lots of negativity on the interwebs for Bernie this time around.

#election2020",Earth,
2019-04-15 21:00:49,"Change in percentage points since March 17-18

Buttigieg: +6
Sanders: +3
Castro: +2
Yang: +1
Klobuchar/Gabbard/Glll… https://t.co/L6JW0E6TgG",,
2019-04-15 21:00:40,"great article on  #gillibrand2020  @gillibrandny  a must read  A MUST READ #Election2020 
https://t.co/m1o53GYBdI… https://t.co/WyZsL4HBFH",,
2019-04-15 20:59:59,".@GovBillWeld @GOP @CNN #CONGRATULATIONS and Best Wishes on your Candidacy for #POTUS 
Someone with Integrity is ju… https://t.co/piB5BcYf5D",Sarasota~Michigan~Chicago,
2019-04-15 20:57:05,Democratic Presidential Hopeful @MarWilliamson Proposes Creating a Federal 'Department of Peace Creation' and a 'De… https://t.co/k89z7CxyP6,"Washington, D.C.",
